Open,Minimum,Maximum,Close,Date,Position
"34,357,000","34,316,000","34,865,000","34,487,000",2024/05/02,High
"34,600,000","34,013,000","34,600,000","34,371,000",2024/05/01,Low
"34,985,000","34,371,000","35,777,000","34,570,000",2024/04/30,Low
"33,263,000","33,240,000","35,216,000","35,004,000",2024/04/29,High
"34,369,000","33,132,000","34,501,000","33,265,000",2024/04/28,Low
"35,228,000","34,325,000","35,228,000","34,360,000",2024/04/27,Low
"35,341,000","34,955,000","35,509,000","35,232,000",2024/04/25,Low
"35,606,000","35,018,000","35,717,000","35,339,000",2024/04/24,Low
"36,405,000","35,341,000","36,481,000","35,639,000",2024/04/23,Low
"37,119,000","36,248,000","37,144,000","36,410,000",2024/04/22,Low
"36,590,000","36,518,000","37,310,000","37,126,000",2024/04/21,High
"37,696,000","36,565,000","37,696,000","36,620,000",2024/04/20,Low
"37,980,000","37,657,000","38,663,000","38,298,000",2024/04/18,High
"37,899,000","37,303,000","38,536,000","38,268,000",2024/04/17,No Change
"37,495,000","36,943,000","38,241,000","37,892,000",2024/04/16,High
"37,379,000","36,241,000","37,571,000","37,433,000",2024/04/15,High
"38,772,000","36,478,000","39,344,000","37,349,000",2024/04/14,Low
"37,310,000","37,059,000","38,972,000","38,790,000",2024/04/13,High
"35,297,000","35,297,000","36,525,000","36,237,000",2024/04/09,High
"35,604,000","34,755,000","36,050,000","35,260,000",2024/04/08,Low
"36,290,000","35,105,000","37,033,000","35,528,000",2024/04/07,Low
"35,937,000","35,757,000","37,056,000","36,809,000",2024/04/06,High
"35,486,000","34,902,000","36,613,000","35,948,000",2024/04/04,High
"34,362,000","34,348,000","35,558,000","35,498,000",2024/04/03,High
"32,388,000","32,386,000","34,563,000","34,355,000",2024/04/02,High
"32,758,000","32,386,000","33,365,000","33,085,000",2024/03/30,High
"32,388,000","32,381,000","32,811,000","32,734,000",2024/03/28,High
"32,224,000","32,197,000","32,647,000","32,605,000",2024/03/27,High
"32,254,000","31,913,000","32,395,000","32,227,000",2024/03/26,Low
"32,617,000","31,405,000","32,626,000","32,277,000",2024/03/25,Low
"32,545,000","32,545,000","32,626,000","32,626,000",2024/03/24,High
"32,026,000","32,023,000","32,557,000","32,536,000",2024/03/18,High
"31,389,000","31,347,000","32,049,000","32,007,000",2024/03/17,High
"31,111,000","30,920,000","31,391,000","31,382,000",2024/03/16,High
"30,839,000","30,839,000","31,215,000","31,077,000",2024/03/14,No Change
"30,765,000","30,518,000","30,941,000","30,848,000",2024/03/13,Low
"30,966,000","30,846,000","31,213,000","30,934,000",2024/03/12,Low
"31,015,000","30,901,000","31,522,000","31,312,000",2024/03/11,High
"31,379,000","30,756,000","31,405,000","30,911,000",2024/03/10,Low
"31,899,000","31,442,000","32,176,000","31,509,000",2024/03/09,Low
"31,079,000","31,070,000","32,051,000","31,892,000",2024/03/06,High
"29,881,000","29,881,000","31,359,000","31,070,000",2024/03/04,High
"29,899,000","29,662,000","29,959,000","29,872,000",2024/03/03,Low
"28,994,000","28,994,000","30,262,000","29,902,000",2024/03/02,High
"28,990,000","28,937,000","29,082,000","29,001,000",2024/02/29,High
"29,177,000","28,831,000","29,230,000","28,988,000",2024/02/28,Low
"28,757,000","28,757,000","29,209,000","29,108,000",2024/02/27,High
"28,637,000","28,618,000","28,826,000","28,771,000",2024/02/26,High
"28,325,000","28,323,000","28,771,000","28,641,000",2024/02/24,High
"28,260,000","28,260,000","28,505,000","28,413,000",2024/02/22,High
"28,046,000","28,046,000","28,309,000","28,270,000",2024/02/21,High
"28,226,000","27,863,000","28,309,000","27,990,000",2024/02/20,Low
"28,106,000","28,103,000","28,429,000","28,244,000",2024/02/19,High
"28,041,000","28,011,000","28,461,000","28,168,000",2024/02/18,High
"27,732,000","27,722,000","28,066,000","28,055,000",2024/02/17,High
"27,568,000","27,510,000","27,801,000","27,766,000",2024/02/15,High
"27,445,000","27,376,000","27,575,000","27,575,000",2024/02/14,High
"27,492,000","27,374,000","27,683,000","27,429,000",2024/02/13,Low
"27,542,000","27,475,000","27,840,000","27,494,000",2024/02/12,Low
"27,838,000","27,145,000","27,847,000","27,535,000",2024/02/10,Low
"27,618,000","27,399,000","27,962,000","27,882,000",2024/02/07,High
"27,510,000","26,231,000","27,755,000","27,628,000",2024/02/05,High
"27,999,000","27,284,000","28,034,000","27,547,000",2024/02/04,Low
"28,849,000","27,757,000","28,976,000","27,815,000",2024/02/03,Low
"27,972,000","27,965,000","29,579,000","28,842,000",2024/01/31,Low
"29,096,000","27,595,000","29,869,000","29,108,000",2024/01/30,High
"27,965,000","27,953,000","29,232,000","29,091,000",2024/01/29,High
"28,043,000","27,824,000","28,136,000","27,972,000",2024/01/28,Low
"27,522,000","27,522,000","28,136,000","28,048,000",2024/01/27,High
"27,508,000","27,429,000","27,690,000","27,528,000",2024/01/24,High
"27,083,000","27,071,000","27,318,000","27,316,000",2024/01/23,High
"27,041,000","26,958,000","27,224,000","27,108,000",2024/01/22,Low
"27,249,000","27,011,000","27,522,000","27,221,000",2024/01/21,Low
"26,956,000","26,716,000","27,305,000","27,293,000",2024/01/20,High
"27,011,000","26,889,000","27,154,000","26,944,000",2024/01/18,Low
"26,774,000","26,540,000","27,224,000","27,097,000",2024/01/17,High
"26,575,000","26,559,000","26,921,000","26,737,000",2024/01/16,No Change
"26,563,000","26,430,000","26,670,000","26,577,000",2024/01/15,High
"26,917,000","26,462,000","27,263,000","26,552,000",2024/01/14,Low
"26,367,000","26,314,000","26,981,000","26,921,000",2024/01/13,High
"26,074,000","26,049,000","26,196,000","26,139,000",2024/01/11,High
"25,952,000","25,896,000","26,118,000","26,086,000",2024/01/10,High
"25,663,000","25,640,000","25,956,000","25,947,000",2024/01/09,High
"25,825,000","25,559,000","25,887,000","25,658,000",2024/01/08,Low
"25,691,000","25,617,000","25,882,000","25,820,000",2024/01/07,High
"25,624,000","25,416,000","25,707,000","25,677,000",2024/01/06,High
"25,624,000","25,608,000","25,820,000","25,647,000",2024/01/04,High
"25,446,000","25,344,000","25,582,000","25,504,000",2024/01/03,High
"25,243,000","25,243,000","25,527,000","25,451,000",2024/01/02,High
"25,047,000","25,047,000","25,264,000","25,252,000",2024/01/01,High
"25,208,000","25,012,000","25,217,000","25,049,000",2023/12/31,Low
"25,024,000","25,024,000","25,201,000","25,155,000",2023/12/30,High
"25,067,000","25,003,000","25,109,000","25,019,000",2023/12/28,Low
"24,756,000","24,756,000","25,084,000","25,060,000",2023/12/27,High
"24,788,000","24,753,000","24,982,000","24,765,000",2023/12/26,High
"24,555,000","24,555,000","24,555,000","24,555,000",2023/12/25,Low
"24,887,000","24,659,000","24,890,000","24,691,000",2023/12/24,Low
"24,726,000","24,721,000","24,970,000","24,883,000",2023/12/23,High
"24,543,000","24,421,000","24,696,000","24,638,000",2023/12/21,High
"24,481,000","24,400,000","24,562,000","24,543,000",2023/12/19,High
"24,606,000","24,453,000","24,608,000","24,476,000",2023/12/18,Low
"24,435,000","24,435,000","24,670,000","24,569,000",2023/12/16,Low
"24,499,000","24,421,000","24,885,000","24,823,000",2023/12/14,High
"24,453,000","24,400,000","24,523,000","24,493,000",2023/12/13,High
"24,375,000","24,370,000","24,573,000","24,444,000",2023/12/12,High
"24,539,000","24,363,000","24,553,000","24,382,000",2023/12/11,Low
"24,509,000","24,493,000","24,587,000","24,541,000",2023/12/10,High
"24,751,000","24,439,000","24,751,000","24,513,000",2023/12/09,Low
"24,617,000","24,603,000","24,772,000","24,756,000",2023/12/07,High
"24,947,000","24,509,000","24,947,000","24,673,000",2023/12/06,Low
"24,853,000","24,740,000","24,964,000","24,954,000",2023/12/05,High
"25,312,000","24,869,000","25,351,000","24,929,000",2023/12/04,Low
"25,284,000","25,139,000","25,312,000","25,236,000",2023/12/03,Low
"25,058,000","25,051,000","25,312,000","25,254,000",2023/12/02,High
"24,767,000","24,758,000","24,934,000","24,790,000",2023/11/30,High
"24,566,000","24,560,000","24,816,000","24,751,000",2023/11/29,High
"24,393,000","24,333,000","24,592,000","24,573,000",2023/11/27,High
"24,518,000","24,352,000","24,553,000","24,407,000",2023/11/26,Low
"24,287,000","24,276,000","24,601,000","24,511,000",2023/11/25,High
"24,155,000","24,142,000","24,276,000","24,222,000",2023/11/23,High
"24,216,000","24,135,000","24,303,000","24,144,000",2023/11/22,Low
"23,927,000","23,927,000","24,280,000","24,222,000",2023/11/21,High
"24,232,000","23,876,000","24,232,000","24,031,000",2023/11/20,Low
"24,326,000","24,209,000","24,361,000","24,241,000",2023/11/19,Low
"24,229,000","24,165,000","24,472,000","24,340,000",2023/11/18,High
"24,250,000","24,149,000","24,303,000","24,246,000",2023/11/16,High
"24,181,000","24,165,000","24,379,000","24,222,000",2023/11/15,High
"24,132,000","24,056,000","24,225,000","24,169,000",2023/11/14,High
"24,089,000","24,079,000","24,192,000","24,130,000",2023/11/13,High
"24,227,000","24,049,000","24,246,000","24,091,000",2023/11/12,Low
"24,391,000","24,188,000","24,391,000","24,236,000",2023/11/11,Low
"24,338,000","24,333,000","24,435,000","24,375,000",2023/11/09,High
"24,405,000","24,312,000","24,499,000","24,349,000",2023/11/08,Low
"24,670,000","24,356,000","24,680,000","24,382,000",2023/11/07,Low
"24,661,000","24,622,000","24,749,000","24,654,000",2023/11/06,Low
"24,636,000","24,633,000","24,834,000","24,696,000",2023/11/05,High
"25,162,000","24,576,000","25,162,000","24,659,000",2023/11/04,Low
"24,989,000","24,968,000","25,234,000","25,167,000",2023/11/02,High
"24,964,000","24,910,000","25,139,000","24,987,000",2023/11/01,High
"24,837,000","24,818,000","25,187,000","24,961,000",2023/10/31,High
"24,950,000","24,703,000","24,966,000","24,857,000",2023/10/30,Low
"25,273,000","24,809,000","25,312,000","24,966,000",2023/10/29,Low
"24,783,000","24,691,000","25,543,000","25,287,000",2023/10/28,High
"24,578,000","24,571,000","24,885,000","24,765,000",2023/10/26,High
"24,310,000","24,303,000","24,643,000","24,592,000",2023/10/25,High
"24,109,000","24,068,000","24,354,000","24,331,000",2023/10/24,High
"24,252,000","24,033,000","24,252,000","24,061,000",2023/10/23,Low
"23,966,000","23,964,000","24,516,000","24,259,000",2023/10/21,High
"24,322,000","23,906,000","24,490,000","23,973,000",2023/10/20,Low
"24,370,000","24,015,000","24,458,000","24,412,000",2023/10/18,High
"23,968,000","23,968,000","24,680,000","24,375,000",2023/10/17,High
"23,465,000","23,465,000","24,022,000","23,973,000",2023/10/16,High
"24,049,000","23,324,000","24,049,000","23,468,000",2023/10/15,Low
"24,128,000","24,031,000","24,250,000","24,075,000",2023/10/14,No Change
"23,978,000","23,978,000","24,419,000","24,151,000",2023/10/13,High
"23,968,000","23,968,000","23,968,000","23,968,000",2023/10/12,No Change
"23,975,000","23,777,000","24,114,000","23,968,000",2023/10/11,Low
"24,123,910","23,812,000","24,123,910","23,985,000",2023/10/10,Low
"24,539,000","23,800,000","24,703,000","23,999,000",2023/10/09,Low
"24,439,000","24,412,000","24,945,000","24,534,000",2023/10/08,High
"23,045,000","23,045,000","24,472,000","24,446,000",2023/10/07,High
"22,424,000","22,424,000","23,089,000","23,043,000",2023/10/06,High
"22,438,000","22,438,000","22,438,000","22,438,000",2023/10/05,No Change
"22,401,000","22,399,000","22,535,000","22,438,000",2023/10/04,High
"22,507,000","22,152,000","22,507,000","22,399,000",2023/10/03,Low
"22,505,000","22,505,000","22,505,000","22,505,000",2023/10/02,No Change
"22,604,000","22,445,000","22,611,000","22,505,000",2023/10/01,Low
"22,530,000","22,406,000","22,851,000","22,611,000",2023/09/30,High
"22,445,000","22,401,000","22,611,000","22,542,000",2023/09/29,Low
"22,918,000","22,918,000","22,918,000","22,918,000",2023/09/28,No Change
"22,876,000","22,826,000","22,946,000","22,918,000",2023/09/27,High
"23,798,000","22,853,000","23,798,000","22,865,000",2023/09/26,Low
"23,158,000","23,158,000","23,158,000","23,158,000",2023/09/25,No Change
"23,191,500","23,061,000","23,225,000","23,158,000",2023/09/24,Low
"23,174,000","23,174,000","23,174,000","23,174,000",2023/09/23,No Change
"23,227,500","23,174,000","23,281,000","23,174,000",2023/09/22,Low
"23,234,000","23,234,000","23,234,000","23,234,000",2023/09/21,No Change
"23,284,000","23,200,000","23,334,000","23,234,000",2023/09/20,Low
"23,368,500","23,244,000","23,403,000","23,334,000",2023/09/19,Low
"23,472,000","23,297,000","23,541,000","23,403,000",2023/09/18,High
"23,388,000","23,281,000","23,431,000","23,345,000",2023/09/17,Low
"23,461,500","23,384,000","23,518,000","23,405,000",2023/09/16,Low
